time,lat,lon,depth_km,mag,FI_S,label
2015-08-13 08:21:58.150000+00:00,55.710555,160.455404,6.92,0.9,0.111,1
2015-08-13 08:27:59.150000+00:00,55.789258,160.309587,22.86,0.61,-100.0,1
2015-08-13 09:01:43.260000+00:00,56.055969,160.606217,31.43,1.5,-0.669,1
2015-08-13 11:17:38.280000+00:00,56.05321,160.600602,31.36,1.63,-0.719,1
2015-08-13 11:35:35.250000+00:00,56.125297,160.451676,0.35,0.89,-0.874,1
2015-08-13 11:59:41.110000+00:00,56.116215,160.727799,21.61,0.95,-100.0,1
2015-08-13 12:47:00.630000+00:00,56.059904,160.616585,31.42,1.39,-0.649,1
2015-08-13 14:09:24.050000+00:00,56.060213,160.617741,33.42,1.55,-0.728,1
2015-08-13 14:14:38.820000+00:00,55.523226,160.282796,32.47,1.86,-100.0,1
2015-08-13 15:09:35.720000+00:00,56.05094,160.599235,30.18,1.41,-0.89,1
2015-08-13 15:33:26.890000+00:00,56.12618,160.526758,0.45,0.79,-0.637,1
2015-08-13 16:11:22.860000+00:00,55.575789,160.360238,37.62,1.15,-100.0,1
2015-08-13 17:24:46.360000+00:00,56.050903,160.618392,-1.8,1.67,-0.765,1
2015-08-13 18:02:57.480000+00:00,56.056763,160.604134,31.2,1.53,-0.609,1
2015-08-13 18:13:59.720000+00:00,55.709355,160.43846,14.6,1.55,-0.067,1
2015-08-13 19:35:52.040000+00:00,56.117086,160.758317,25.88,1.64,-100.0,1
2015-08-13 19:41:01.420000+00:00,56.043628,160.606999,27.33,1.36,-0.656,1
2015-08-13 23:10:59.160000+00:00,56.050806,160.614958,31.1,1.84,-0.758,1
2015-08-14 02:44:48.150000+00:00,55.704065,160.442074,9.73,1.42,-0.103,1
2015-08-14 03:07:20.840000+00:00,56.077372,160.61346,38.33,1.76,-0.808,1
2015-08-14 03:56:34.540000+00:00,55.90026,160.664616,0.88,1.54,0.002,1
2015-08-14 04:07:01.370000+00:00,56.048189,160.60389,29.9,1.34,-0.66,1
2015-08-14 05:14:09.430000+00:00,56.07561,160.651563,29.43,1.39,-100.0,1
2015-08-14 05:15:37.990000+00:00,55.530778,160.46084,10.88,0.61,-100.0,1
2015-08-14 06:33:21.020000+00:00,56.048136,160.604134,30.15,1.79,-0.695,1
2015-08-14 07:46:58.370000+00:00,56.045264,160.595329,27.1,1.53,-100.0,1
2015-08-14 09:14:30.690000+00:00,56.048299,160.60083,29.67,1.6,-0.616,1
2015-08-14 10:34:53.300000+00:00,56.048926,160.608626,30.53,1.59,-0.648,1
2015-08-14 10:39:03.280000+00:00,56.170475,160.908138,23.42,1.58,0.077,1
2015-08-14 12:26:38.830000+00:00,56.059924,160.605062,32.47,1.75,-0.799,1
2015-08-14 12:51:01.340000+00:00,56.171525,160.836995,18.51,1.46,0.197,1
2015-08-14 13:57:31.150000+00:00,55.707955,160.473047,9.71,0.97,-100.0,1
2015-08-14 14:12:01.860000+00:00,56.055204,160.6104,31.5,1.58,-0.604,1
